,pdb id,unfiltered lig,metal,covalent lig,lig,lig filtered,lig num,res,res lig,res site frac,res filtered,res filtered lig,res num,lig (type),lig num (type),lig (mass),lig num (mass),rna frac,ribosomal rna,viral rna,ribozyme,riboswitch,aptamer,primer complex,splicing-related,other structure,type num,elements,elements out,size dim1,size dim2,size dim3,size
368,4NYG,"['A23', 'HOH', 'MG', 'VIB']",['MG'],['A23'],"['HOH', 'VIB']",['VIB'],1,[101],['VIB'],[1.0],[101],['VIB'],1,['VIB'],1.0,['VIB'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],35.40528,35.21023,54.782234,54.782234
371,5DM7,"['HGR', 'MG']",['MG'],[],['HGR'],['HGR'],1,[6178],['HGR'],[0.9851063829787234],[6178],['HGR'],1,['HGR'],1.0,['HGR'],1,0.6986167670716521,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],159.18558,260.28552,210.31783,260.28552
381,6CAR,"['0TD', '2MG', '4OC', '5MC', 'G7M', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SIS', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', 'G7M', 'G7M', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6', 'SIS']",['MA6' 'SIS'],2,"[1809, 1518, 1519]","['SIS', 'MA6', 'MA6']","[0.9643835616438357, 1.0, 1.0]","[1809, 1518, 1519]","['SIS', 'MA6', 'MA6']",3,"['MA6', 'SIS']",2.0,"['MA6', 'SIS']",2,0.6309364904339079,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],197.50642,564.9883,149.30902,564.9883
383,6YTF,"['MG', 'T1C']",['MG'],[],['T1C'],['T1C'],1,[1624],['T1C'],[0.9511278195488722],[1624],['T1C'],1,['T1C'],1.0,['T1C'],1,0.604750593824228,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],390.1267,344.16006,442.6734,442.6734
386,3MUT,"['C2E', 'GTP', 'HOH', 'MG']",['MG'],['GTP'],"['C2E', 'HOH']",['C2E'],1,[1],['C2E'],[1.0],[1],['C2E'],1,['C2E'],1.0,['C2E'],1,0.7266294227188081,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],33.45053,39.83117,65.351616,65.351616
388,7EOG,"['GTP', 'HOH', 'IRI', 'J8F', 'MG']","['MG', 'IRI']",['GTP'],"['HOH', 'J8F']",['J8F'],1,[102],['J8F'],[1.0],[102],['J8F'],1,['J8F'],1.0,['J8F'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],58.69562,41.71395,36.520897,58.69562
392,3T1H,"['12A', '70U', 'MG', 'PAR', 'PSU', 'ZN']","['MG', 'ZN']","['70U', '70U', '12A', '12A', 'PSU', 'PSU']",['PAR'],['PAR'],1,[1783],['PAR'],[0.9263657957244655],[1783],['PAR'],1,['PAR'],1.0,['PAR'],1,0.6300621404798091,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.9539,184.46968,141.0161,297.9539
404,6JBF,"['HOH', 'V71']",[],[],"['HOH', 'V71']",['V71'],1,[100],['V71'],[1.0],[100],['V71'],1,['V71'],1.0,['V71'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],41.0571,35.836792,51.158783,51.158783
405,3E5F,"['EEM', 'GTP', 'HOH', 'SR']",['SR'],['GTP'],"['EEM', 'HOH']",['EEM'],1,[216],['EEM'],[0.9293193717277487],[216],['EEM'],1,['EEM'],1.0,['EEM'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],44.096016,40.683636,45.53174,45.53174
411,5HKV,"['3QB', 'CA', 'EOH', 'MG', 'MN', 'MPD', 'SPD']","['MN', 'MG', 'CA']",[],"['3QB', 'EOH', 'MPD', 'SPD']",['3QB'],1,[3001],['3QB'],[1.0],[3001],['3QB'],1,['3QB'],1.0,['3QB'],1,0.7519205546186997,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],157.99734,167.92603,134.24446,167.92603
412,7D7Z,"['GTP', 'HOH', 'MG', 'MN', 'NAD']","['MG', 'MN']",[],"['GTP', 'HOH', 'NAD']",['NAD'],1,[129],['NAD'],[1.0],[129],['NAD'],1,['NAD'],1.0,"['GTP', 'NAD']",2,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],47.264774,32.49672,60.79888,60.79888
413,3G8T,"['A2M', 'GLP', 'GTP', 'HOH', 'MG']",['MG'],"['A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP']","['GLP', 'HOH']",['GLP'],1,"[5001, 5002, 5003, 5004]","['GLP', 'GLP', 'GLP', 'GLP']","[1.0, 1.0, 1.0, 1.0]","[5001, 5002, 5003, 5004]","['GLP', 'GLP', 'GLP', 'GLP']",4,['GLP'],1.0,['GLP'],1,0.8194356573453119,0,0,1,0,0,0,1,0,2,['C' 'N' 'O' 'P'],[],48.678776,140.70134,115.87386,140.70134
415,4DUY,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279423523217037,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],298.8376,182.60263,140.78223,298.8376
416,7TZU,"['HOH', 'KWL', 'MG', 'MN']","['MG', 'MN']",[],"['HOH', 'KWL']",['KWL'],1,[101],['KWL'],[1.0],[101],['KWL'],1,['KWL'],1.0,['KWL'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],37.509502,33.02245,52.671234,52.671234
419,6JJI,"['K', 'POH']",['K'],[],['POH'],['POH'],1,[104],['POH'],[1.0],[104],['POH'],1,['POH'],1.0,['POH'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],22.085344,19.202744,18.58121,22.085344
422,6DDD,['G6V'],[],[],['G6V'],['G6V'],1,[3001],['G6V'],[1.0],[3001],['G6V'],1,['G6V'],1.0,['G6V'],1,0.7454736256511404,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],310.44788,303.44296,343.91064,343.91064
429,3SKI,"['CCC', 'GNG', 'GTP', 'HOH', 'MG', 'SIN', 'SO4']","['MG', 'SO4']","['GTP', 'CCC', 'CCC']","['GNG', 'HOH', 'SIN']",['GNG'],1,[120],['GNG'],[1.0],[120],['GNG'],1,['GNG'],1.0,['GNG'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],28.726402,29.481392,94.096436,94.096436
432,4OQU,"['MG', 'SAM']",['MG'],[],['SAM'],['SAM'],1,[101],['SAM'],[0.9440993788819876],[101],['SAM'],1,['SAM'],1.0,['SAM'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],87.64323,57.718052,60.57358,87.64323
442,2HHH,['KSG'],[],[],['KSG'],['KSG'],1,"[1523, 1524]","['KSG', 'KSG']","[1.0, 0.7575757575757576]","[1523, 1524]","['KSG', 'KSG']",2,['KSG'],1.0,['KSG'],1,0.6271616905777433,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],489.49832,264.75616,142.28137,489.49832
447,6E1U,"['HMJ', 'HOH', 'MG', 'N']",['MG'],"['N', 'N']","['HMJ', 'HOH']",['HMJ'],1,[101],['HMJ'],[1.0],[101],['HMJ'],1,['HMJ'],1.0,['HMJ'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],56.226597,60.401684,48.28596,60.401684
453,3WRU,"['HOH', 'K', 'SJP']",['K'],[],"['HOH', 'SJP']",['SJP'],1,[101],['SJP'],[1.0],[101],['SJP'],1,['SJP'],1.0,['SJP'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],37.31892,31.960339,33.75784,37.31892
455,1KC8,"['BLS', 'CD', 'CL', 'HOH', 'K', 'MG', 'NA']","['MG', 'K', 'NA', 'CL', 'CD']",[],"['BLS', 'HOH']",['BLS'],1,"[9001, 9002]","['BLS', 'BLS']","[1.0, 0.96875]","[9001, 9002]","['BLS', 'BLS']",2,['BLS'],1.0,['BLS'],1,0.6814682917118273,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],156.94846,214.6453,202.59315,214.6453
466,6E82,"['K', 'TFX']",['K'],[],['TFX'],['TFX'],1,[102],['TFX'],[1.0],[102],['TFX'],1,['TFX'],1.0,['TFX'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],33.5266,79.39306,36.12441,79.39306
468,7D7Y,"['ATP', 'GTP', 'HOH', 'MG']",['MG'],[],"['ATP', 'GTP', 'HOH']",['ATP'],1,[102],['ATP'],[1.0],[102],['ATP'],1,['ATP'],1.0,"['ATP', 'GTP']",2,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],45.14476,32.466545,60.738255,60.738255
469,1XMO,"['MG', 'MNU', 'PAR', 'T6A', 'ZN']","['MG', 'ZN']","['MNU', 'MNU', 'T6A', 'T6A']",['PAR'],['PAR'],1,[1545],['PAR'],[0.9385342789598109],[1545],['PAR'],1,['PAR'],1.0,['PAR'],1,0.6291918159554158,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.1261,182.21054,135.51035,298.1261
475,2GRB,"['HOH', 'I', 'K', 'SR', 'U33']","['K', 'SR']","['U33', 'U33', 'U33', 'U33', 'U33']","['HOH', 'I']",['I'],1,[3],['I'],[1.0],[3],['I'],1,['I'],1.0,['I'],1,1.0,0,0,0,0,0,0,0,1,1,['BR' 'C' 'N' 'O' 'P'],['BR'],27.913284,34.105713,33.297173,34.105713
477,4G6R,"['3DA', 'HOH', 'I', 'MG', 'SO4']","['SO4', 'MG']","['3DA', '3DA']","['HOH', 'I']",['I'],1,[8],['I'],[1.0],[8],['I'],1,['I'],1.0,['I'],1,1.0,0,0,1,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],51.008575,41.14463,82.17081,82.17081
481,1XNQ,"['I', 'MG', 'PAR', 'ZN']","['MG', 'ZN']",[],"['I', 'PAR']",['I' 'PAR'],2,"[1545, 34]","['PAR', 'I']","[0.9407582938388626, 0.9965034965034965]","[1545, 34]","['PAR', 'I']",2,"['I', 'PAR']",2.0,"['I', 'PAR']",2,0.6295204516116603,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],297.17618,181.40912,134.78134,297.17618
488,2Z75,"['DA', 'GLP', 'HOH', 'MG']",['MG'],[],"['DA', 'GLP', 'HOH']",['GLP'],1,[201],['GLP'],[1.0],[201],['GLP'],1,['GLP'],1.0,"['DA', 'GLP']",2,1.0,0,0,1,1,0,0,0,0,2,['C' 'N' 'O' 'P'],[],92.33184,45.717583,52.63401,92.33184
489,6JJH,"['HOH', 'K', 'POH']",['K'],[],"['HOH', 'POH']",['POH'],1,"[101, 102]","['POH', 'POH']","[1.0, 1.0]","[101, 102]","['POH', 'POH']",2,['POH'],1.0,['POH'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],28.531193,22.61601,24.526041,28.531193
490,3G4S,"['1MA', 'CD', 'CL', 'HOH', 'K', 'MG', 'MUL', 'NA', 'OMG', 'OMU', 'PSU', 'SR', 'UR3']","['MG', 'K', 'NA', 'CL', 'SR', 'CD']","['1MA', '1MA', 'OMU', 'OMG', 'OMU', 'OMG', 'UR3', 'UR3', 'PSU', 'PSU']","['HOH', 'MUL']",['MUL'],1,[9101],['MUL'],[0.9907834101382489],[9101],['MUL'],1,['MUL'],1.0,['MUL'],1,0.6767035578340558,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],156.53073,214.41544,209.3948,214.41544
491,7D82,"['HOH', 'MG', 'MN', 'NAD']","['MN', 'MG']",[],"['HOH', 'NAD']",['NAD'],1,[108],['NAD'],[1.0],[108],['NAD'],1,['NAD'],1.0,['NAD'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],66.85677,27.295023,34.788956,66.85677
492,3G71,"['1MA', 'CD', 'CL', 'HOH', 'K', 'MG', 'NA', 'OMG', 'OMU', 'PSU', 'SR', 'UR3', 'WIN']","['MG', 'K', 'NA', 'CL', 'SR', 'CD']","['1MA', '1MA', 'OMU', 'OMG', 'OMU', 'OMG', 'UR3', 'UR3', 'PSU', 'PSU']","['HOH', 'WIN']",['WIN'],1,[9101],['WIN'],[0.9910112359550561],[9101],['WIN'],1,['WIN'],1.0,['WIN'],1,0.6767035578340558,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],154.66505,213.78363,209.2629,213.78363
499,4DV5,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SRY', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'SRY']",['SRY'],1,[1601],['SRY'],[0.8340807174887892],[1601],['SRY'],1,['SRY'],1.0,['SRY'],1,0.6279496080190335,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],299.97546,183.8739,139.2725,299.97546
500,7EOK,"['GTP', 'HOH', 'J8L', 'MG']",['MG'],['GTP'],"['HOH', 'J8L']",['J8L'],1,[102],['J8L'],[1.0],[102],['J8L'],1,['J8L'],1.0,['J8L'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],33.337605,34.113644,37.5879,37.5879
501,1XNR,"['I', 'MG', 'PAR', 'ZN']","['MG', 'ZN']",[],"['I', 'PAR']",['I' 'PAR'],2,"[1545, 34]","['PAR', 'I']","[0.9425837320574163, 1.0]","[1545, 34]","['PAR', 'I']",2,"['I', 'PAR']",2.0,"['I', 'PAR']",2,0.6295061752182038,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],297.079,181.37166,135.0985,297.079
502,3JQ4,['LC2'],[],[],['LC2'],['LC2'],1,[2881],['LC2'],[1.0],[2881],['LC2'],1,['LC2'],1.0,['LC2'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],141.535,272.31345,209.91942,272.31345
503,6TF0,"['CBV', 'HOH', 'MG', 'NA', 'NAI']","['MG', 'NA']","['CBV', 'CBV']","['HOH', 'NAI']",['NAI'],1,[111],['NAI'],[1.0],[111],['NAI'],1,['NAI'],1.0,['NAI'],1,1.0,0,0,0,1,0,0,0,0,1,['BR' 'C' 'H' 'N' 'O' 'P'],['BR'],37.871517,30.463326,58.950226,58.950226
505,3G9C,"['GLP', 'GTP', 'HOH', 'MG']",['MG'],"['GTP', 'GTP', 'GTP', 'GTP']","['GLP', 'HOH']",['GLP'],1,[5001],['GLP'],[1.0],[5001],['GLP'],1,['GLP'],1.0,['GLP'],1,0.817440081591025,0,0,1,0,0,0,1,0,2,['C' 'N' 'O' 'P'],[],57.98629,108.30554,104.484886,108.30554
506,1LC4,"['HOH', 'TOY']",[],[],"['HOH', 'TOY']",['TOY'],1,"[48, 47]","['TOY', 'TOY']","[1.0, 1.0]","[48, 47]","['TOY', 'TOY']",2,['TOY'],1.0,['TOY'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],37.714176,31.665836,34.090744,37.714176
510,6TFF,"['BR', 'HOH', 'MG', 'NA', 'NAD']","['MG', 'NA', 'BR']",[],"['HOH', 'NAD']",['NAD'],1,[109],['NAD'],[1.0],[109],['NAD'],1,['NAD'],1.0,['NAD'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],37.924736,28.292906,59.35918,59.35918
511,4DV2,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279568634333743,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],298.3116,182.24466,139.96341,298.3116
512,7A18,"['MG', 'MIV', 'SPD']",['MG'],"['SPD', 'SPD', 'SPD', 'SPD', 'SPD', 'SPD', 'SPD']",['MIV'],['MIV'],1,[2901],['MIV'],[0.9222222222222223],[2901],['MIV'],1,['MIV'],1.0,['MIV'],1,0.7208969977015327,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],148.94466,239.55675,209.0932,239.55675
516,3J7A,"['34G', 'MG', 'ZN']","['MG', 'ZN']",[],['34G'],['34G'],1,[2168],['34G'],[0.8930817610062893],[2168],['34G'],1,['34G'],1.0,['34G'],1,0.5213268763724678,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],303.58548,423.58484,375.2231,423.58484
517,5OB3,"['1TU', 'HOH', 'K', 'SPM']",['K'],[],"['1TU', 'HOH', 'SPM']",['1TU'],1,[101],['1TU'],[1.0],[101],['1TU'],1,['1TU'],1.0,"['1TU', 'SPM']",2,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],77.57815,29.038378,37.231827,77.57815
521,6LAU,"['CS', 'GTP', 'HOH', 'MSE', 'SAH']",['CS'],"['MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE']","['GTP', 'HOH', 'SAH']",['SAH'],1,[101],['SAH'],[0.9259259259259259],[101],['SAH'],1,['SAH'],1.0,"['GTP', 'SAH']",2,0.5283575317604355,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P' 'SE'],['SE'],42.28824,45.67165,85.35386,85.35386
522,3DS7,"['ACT', 'GNG', 'HOH', 'NCO']",['ACT'],[],"['GNG', 'HOH', 'NCO']",['GNG'],1,"[120, 320]","['GNG', 'GNG']","[1.0, 1.0]","[120, 320]","['GNG', 'GNG']",2,['GNG'],1.0,['GNG'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],52.4001,51.307926,73.75205,73.75205
525,3PIP,"['K', 'LC2', 'LMA', 'MG', 'NA']","['MG', 'K', 'NA']",[],"['LC2', 'LMA']",['LC2'],1,[2881],['LC2'],[0.9904534606205251],[2881],['LC2'],1,"['LC2', 'LMA']",2.0,['LC2'],1,0.7078529657477026,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],155.55038,220.3181,209.7447,220.3181
530,6WTR,"['2BA', 'GDP', 'HOH', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']",['GDP'],"['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],87.383064,52.815395,59.43746,87.383064
532,3Q3Z,"['C2E', 'GTP', 'HOH', 'MG']",['MG'],"['GTP', 'GTP']","['C2E', 'HOH']",['C2E'],1,"[1, 2, 84]","['C2E', 'C2E', 'C2E']","[1.0, 1.0, 1.0]","[1, 2, 84]","['C2E', 'C2E', 'C2E']",3,['C2E'],1.0,['C2E'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],42.707134,45.85592,78.440765,78.440765
535,4QKA,"['23G', '2BA', 'GTP', 'HOH', 'IRI', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4', 'IRI']","['GTP', '23G']","['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],85.59277,52.732216,58.699577,85.59277
537,6N5P,"['2BA', 'GTP', 'HOH', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']",['GTP'],"['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],88.70649,55.176292,58.857338,88.70649
538,6N5O,"['2BA', 'GTP', 'HOH', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']",['GTP'],"['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],87.76411,53.30371,59.260876,87.76411
540,4QLM,"['2BA', 'HOH', 'MG', 'SO4']","['MG', 'SO4']",[],"['2BA', 'HOH']",['2BA'],1,"[203, 204]","['2BA', '2BA']","[1.0, 1.0]","[203, 204]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],44.058895,62.765697,51.12746,62.765697
541,5ZEI,"['1MA', 'GET', 'HOH']",[],"['1MA', '1MA', '1MA', '1MA']","['GET', 'HOH']",['GET'],1,[101],['GET'],[1.0],[101],['GET'],1,['GET'],1.0,['GET'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],32.668022,30.294817,54.741547,54.741547
543,4LF8,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'K', 'M2G', 'MG', 'PAR', 'PSU', 'UR3', 'ZN']","['MG', 'K', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', '0TD', '0TD']","['HOH', 'PAR']",['PAR'],1,"[1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR']","[0.9411764705882353, 0.891566265060241, 0.9117647058823529, 1.0, 0.8128898128898129, 0.7610619469026548, 0.9672131147540983, 0.6897233201581028, 0.8609112709832134]","[1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR']",9,['PAR'],1.0,['PAR'],1,0.627531941414771,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],299.49817,184.93024,141.37712,299.49817
544,4YB1,"['4BW', 'HOH', 'MG']",['MG'],[],"['4BW', 'HOH']",['4BW'],1,[102],['4BW'],[0.9975550122249389],[102],['4BW'],1,['4BW'],1.0,['4BW'],1,0.7226331360946746,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],33.74856,41.192944,95.0592,95.0592
545,1FJG,"['MG', 'PAR', 'SCM', 'SRY', 'ZN']","['MG', 'ZN']",[],"['PAR', 'SCM', 'SRY']",['PAR' 'SCM' 'SRY'],3,"[1545, 1634, 1633]","['PAR', 'SRY', 'SCM']","[0.9379474940334129, 0.8352402745995423, 0.9145077720207254]","[1545, 1634, 1633]","['PAR', 'SRY', 'SCM']",3,"['PAR', 'SCM', 'SRY']",3.0,"['PAR', 'SCM', 'SRY']",3,0.6276645041705282,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.90552,182.20822,140.8157,298.90552
555,5KRG,"['HOH', 'LCC', 'LCG', 'PZG']",[],"['LCC', 'LCC', 'LCC', 'LCG', 'LCG', 'LCC', 'LCC', 'LCC', 'LCG', 'LCG', 'LCC', 'LCC', 'LCC', 'LCG', 'LCG', 'LCC', 'LCC', 'LCC', 'LCG', 'LCG']","['HOH', 'PZG']",['PZG'],1,"[101, 102]","['PZG', 'PZG']","[1.0, 1.0]","[101, 102]","['PZG', 'PZG']",2,['PZG'],1.0,['PZG'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],49.233784,43.916985,137.15707,137.15707
556,3G6E,"['1MA', 'CD', 'CL', 'HMT', 'HOH', 'K', 'MG', 'NA', 'OMG', 'OMU', 'PSU', 'SR', 'UR3']","['MG', 'K', 'NA', 'CL', 'SR', 'CD']","['1MA', '1MA', 'OMU', 'OMG', 'OMU', 'OMG', 'UR3', 'UR3', 'PSU', 'PSU']","['HMT', 'HOH']",['HMT'],1,[9101],['HMT'],[0.9891774891774892],[9101],['HMT'],1,['HMT'],1.0,['HMT'],1,0.6767035578340558,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],154.47142,213.95328,209.21953,213.95328
559,7EOH,"['GDP', 'HOH', 'J8F', 'MG']",['MG'],['GDP'],"['HOH', 'J8F']",['J8F'],1,[101],['J8F'],[1.0],[101],['J8F'],1,['J8F'],1.0,['J8F'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],58.44294,41.964306,36.32204,58.44294
560,2O3X,['N30'],[],[],['N30'],['N30'],1,[1],['N30'],[1.0],[1],['N30'],1,['N30'],1.0,['N30'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],38.066536,48.001225,32.265076,48.001225
561,6WQN,['ZC0'],[],[],['ZC0'],['ZC0'],1,[3001],['ZC0'],[1.0],[3001],['ZC0'],1,['ZC0'],1.0,['ZC0'],1,0.7436253424402821,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],309.46436,318.1023,238.21918,318.1023
